CODIGO  ,DESCRICAO DO INSUMO,UNIDADE DE MEDIDA,ORIGEM DO PRECO,PRECO MEDIANO R$
39139,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1""                                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"0,46"
39143,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                              ",UN    ,CR,"1,28"
39142,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2""                                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"0,91"
39138,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/4""                                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"0,34"
39136,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/8""                                                                                                                                                                                                                                                                                                                                                                                                                                ",UN    ,CR,"0,22"
39144,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3""                                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"1,49"
39145,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 4""                                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"2,46"
12615,"ABRACADEIRA PVC, PARA CALHA PLUVIAL, DIAMETRO ENTRE 80 E 100 MM, PARA DRENAGEM PREDIAL                                                                                                                                                                                                                                                                                                                                                                                                                    ",UN    ,CR,"3,70"
11927,"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA  FITA *12,6 A *14 MM, D = 2"" A 2 1/2""                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"5,73"
11928,"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA  FITA *12,6 A *14 MM, D = 3"" A 3 3/4""                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"6,56"
11929,"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA  FITA *12,6 A *14 MM, D = 4"" A 4 3/4""                                                                                                                                                                                                                                                                                                                                                                                             ",UN    ,CR,"10,15"
36801,"ACABAMENTO CROMADO PARA REGISTRO PEQUENO, 1/2 "" OU 3/4 ""                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN    ,CR,"18,83"
36246,"ACABAMENTO SIMPLES/CONVENCIONAL PARA FORRO PVC, TIPO ""U"" OU ""C"", COR BRANCA, COMPRIMENTO 6 M                                                                                                                                                                                                                                                                                                                                                                                                              ",M     ,CR,"2,45"
37600,"ACESSORIO DE LIGACAO NAO ELETRICO PARA CARGAS EXPLOSIVAS, TUBO DE 6 M                                                                                                                                                                                                                                                                                                                                                                                                                                     ",UN    ,CR,"51,99"
37599,"ACESSORIO INICIADOR NAO ELETRICO, TUBO DE 6 M, TEMPO DE RETARDO DE *160* MS                                                                                                                                                                                                                                                                                                                                                                                                                               ",UN    ,CR,"48,39"
1,ACETILENO (RECARGA PARA CILINDRO DE CONJUNTO OXICORTE GRANDE)                                                                                                                                                                                                                                                                                                                                                                                                                                             ,KG    ,C ,"37,50"
3,"ACIDO MURIATICO, DILUICAO 10% A 12% PARA USO EM LIMPEZA                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",L     ,CR,"5,55"
26,"ACO CA-25, 10,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",KG    ,CR,"4,33"
20,"ACO CA-25, 12,5 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",KG    ,C ,"4,36"
21,"ACO CA-25, 16,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",KG    ,CR,"4,36"
24,"ACO CA-25, 20,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",KG    ,CR,"4,36"
25,"ACO CA-25, 25,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",KG    ,CR,"4,36"
43065,"ACO CA-25, 32,0 MM, BARRA DE TRANSFERENCIA (COLETADO CAIXA)                                                                                                                                                                                                                                                                                                                                                                                                                                               ",KG    ,CR,"6,53"
34341,"ACO CA-25, 32,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",KG    ,CR,"4,10"
22,"ACO CA-25, 6,3 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",KG    ,CR,"4,67"
23,"ACO CA-25, 8,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",KG    ,CR,"4,62"
34439,"ACO CA-50, 10,0 MM, DOBRADO E CORTADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",KG    ,CR,"5,06"
34,"ACO CA-50, 10,0 MM, VERGALHAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",KG    ,CR,"4,50"
34441,"ACO CA-50, 12,5 MM, DOBRADO E CORTADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",KG    ,CR,"4,79"
